#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35C0E
#Date Time: 2019-02-19 14:59::36.696

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
0.20000000000000043,0.040375477249093253,-3.8943831118104528,-94.27930180557405
0.22995139907954762,0.040396975267707268,-2.6940024421176756,-94.820261144589153
0.26438822969320624,0.039958471928658236,-1.4988270341818692,-95.445904917986297
0.30398221659058722,0.042962962580498608,-0.30812423341909095,-96.157642705359763
0.34950568000153731,0.041458585784011751,0.88339951322536747,-96.950410817499233
0.40184660051301002,0.041749369439022313,2.0680134566329955,-97.897619420955834
0.46202594001663255,0.04181716968695335,3.2444983618931422,-98.975242647374898
0.53121755658933789,0.041708361813062811,4.4169810077369407,-100.1787864623924
0.6107711017666837,0.042800970946575104,5.578599701482748,-101.57522932157173
0.70223834684302844,0.042151449519744907,6.7303855072204151,-103.13825286847333
0.8074034517193116,0.041879644036159056,7.868815460753698,-104.9346000052746
0.92831776672255828,0.043648583829148178,8.9846336006673191,-106.90469620967235
1.0673398462412647,0.043394947413487123,10.068230721522069,-108.88443198181278
1.2271814546826352,0.044411767310418168,11.135076789260461,-111.68150792556696
1.4109604621437319,0.045311881618006832,12.156527244483698,-114.47011105653223
1.6222616615793779,0.042648754646119835,13.136728421982637,-117.52163511209324
1.8652066937664438,0.044900703972564612,14.057427931031533,-120.81115232907018
2.1445344440206506,0.04348565914327835,14.918919952827869,-124.33387491669654
2.4656934788841367,0.043639198970074636,15.705828834563761,-128.04628767374641
2.8349483258536154,0.043246489758410438,16.418896057417605,-131.88240583292333
3.2595016692412937,0.042676176390514214,17.052492059625596,-135.78324514245816
3.7476348457207735,0.044112926039748958,17.601447081358248,-139.66246855891504
4.3088693800637738,0.0443869301224828,18.071983229746841,-143.4774377474136
4.9541527119834274,0.044254021173815467,18.468365697286306,-147.13100444084577
5.6960717368716098,0.04528726930008177,18.797337343337535,-150.58923808179148
6.5490983257554776,0.044461065370892366,19.066200826622282,-153.82587679434351
7.5298716135849428,0.043554116624841328,19.282096522034855,-156.79919079060812
8.6575225621661236,0.044575947368887085,19.455447340977059,-159.50181825811302
9.9540471286642482,0.043243231967219173,19.593451100990535,-161.95299949717923
11.44473531870044,0.04276373878888045,19.701723544273641,-164.13736393250008
13.158664493151365,0.044431618782899363,19.787674712256383,-166.11418724915416
15.129266551092613,0.044482862915461802,19.852985579389852,-167.84708924223924
17.394980052355702,0.043189110533874933,19.905939206416345,-169.39320678088933
20,0.04547056679621557,19.942928608186879,-170.73923710177925
22.995139907954737,0.043182686010609039,19.976603674611141,-171.94066553240992
26.438822969320629,0.043408127938461626,20.001190311201825,-172.99878572137567
30.398221659058727,0.04372816686364369,20.018212368545967,-173.92907394759862
34.950568000153694,0.04490600860191752,20.032943470807204,-174.74191831929983
40.184660051301002,0.044174332768956194,20.044245703651274,-175.46251351642999
46.20259400166325,0.084219481723800949,20.012885652496095,-176.02476309679039
53.121755658933729,0.0096836077774231002,20.092441171599745,-176.85614665269583
61.07711017666837,0.046760982745901909,20.063371554646373,-177.08738088387341
70.223834684302759,0.043112209396398232,20.073552690309285,-177.59308936954699
80.740345171931239,0.042600405878992789,20.074979165784228,-177.98265020856238
92.831776672255643,0.045295044902534665,20.074826729697442,-178.4458027865617
106.73398462412635,0.055772706405703983,20.067033099101003,-178.6343053454284
122.71814546826363,0.046900372551091626,20.07825160514971,-178.97868300779498
141.0960462143729,0.03925905324171268,20.088707200466075,-179.22222915394468
162.22616615793763,0.043391486964408095,20.081977349862928,-179.61254298026873
186.52066937664438,0.051106217418054864,20.077408018226024,-179.83044753099438
214.45344440206483,0.049822329293260123,20.082617928479131,179.8675828286801
246.56934788841343,0.050511216727562772,20.077963151053844,179.67760491086159
283.49483258536151,0.053356534313348671,20.0801202065566,179.37080660585283
325.95016692412901,0.044419816643421005,20.083295438291891,179.05562548983551
374.763484572077,0.051533044622521298,20.083705718473048,178.73414557954629
430.88693800637736,0.052227696989193509,20.076565729228989,178.46187713153824
495.41527119834228,0.058999341390584478,20.067132480825233,178.13719411340116
569.60717368716098,0.068593736901200644,20.057814344257249,177.72943234245815
654.90983257554626,0.078137480946246035,20.048459576276368,177.23368057342753
752.98716135849349,0.078441763737425813,20.041795450079466,176.79477371484728
865.7522562166123,0.099138175118689997,20.019598576145562,176.24656972307946
995.40471286642276,0.1062432894655426,20.004231420326917,175.63592010809631
1144.4735318700452,0.12481963073247539,19.978880306417601,175.02488900598959
1315.8664493151364,0.16185412748922912,19.93775774214258,174.26800221313815
1512.9266551092596,0.18507353891083694,19.89818923095044,173.44956536065382
1739.4980052355686,0.22212224460396734,19.844217674964725,172.60434744440613
2000,0.26771410775484361,19.780988415906243,171.62228791543123
2299.5139907954735,0.33340489914652743,19.697866837618591,170.6328205330305
2643.8822969320586,0.38273439803441384,19.608573999898358,169.55179868935178
3039.8221659058709,0.45710170399144268,19.499119415865948,168.41664370788848
3495.0568000153698,0.53000794242697891,19.376560785461457,167.23084491778511
4018.4660051300939,0.61922010002960393,19.245328442598396,165.98018915426516
4620.2594001663228,0.68756169935786104,19.109071128145377,164.71462269771962
5312.1755658933735,0.74872459573611538,18.963223170439235,163.33132486109935
6107.7110176668375,0.80187247408140228,18.813662780059872,161.8143639986634
7022.3834684302656,0.84913641490560199,18.64956798780333,160.10521288480453
8074.0345171931076,0.86972969915214871,18.47488285905191,158.21320667659697
9283.1776672255637,0.88072479235381129,18.292945613091295,156.08480228915062
10673.398462412621,0.85581308085320618,18.078488228319255,153.6913114852988
12271.814546826357,0.83387354744335251,17.83150215008002,151.02489529178015
14109.604621437291,0.77473812869236147,17.543296521238354,148.0385201986814
16222.616615793761,0.71229110538756912,17.202233341486647,144.79569138431691
18652.066937664407,0.6294946543988017,16.794655573956241,141.30359236158486
21445.344440206456,0.5366428335603749,16.317423885509289,137.60887972661516
24656.934788841336,0.44909500152670262,15.761865583594009,133.70698306919061
28349.4832585361,0.3563768806384392,15.117204661229453,129.89237098209472
32595.016692412908,0.25357220978419343,14.403899671550915,126.01663076519381
37476.348457207685,0.16224059743427433,13.605388946576396,122.25575965281371
43088.693800637659,0.10339882497928429,12.720975276593546,118.61663855077953
49541.527119834238,0.037008401206833588,11.8035187513448,115.28753736014541
56960.717368716018,-0.021495050515951995,10.831022704869664,112.2528182844006
65490.983257554617,-0.12712714896170463,9.8439202944655264,109.6194983524213
75298.716135849361,-0.11231787502628822,8.7165539077016057,106.37003924120883
86575.225621661244,-0.11777710481148446,7.6276665966649704,103.97164026237718
99540.471286642234,-0.11024876717647057,6.4657177533474322,101.45306341549031
114447.35318700429,-0.15414539636061855,5.3498362698898516,99.550324114276521
131586.64493151367,-0.15208500423437638,4.1900512990760372,97.34593551634886
151292.66551092576,-0.14468706318007873,3.0137173444685628,95.598690276947082
173949.80052355677,-0.18081815054522207,1.8483712669189503,93.855732646315687
200000,-0.1389055875923513,0.63055772948371158,92.154876101674745
